,Date_s,day_frequency,maxTemp,weekday,workingday,month,precip
0,2018-01-01,1368,13.9,0,1,1,0
1,2018-01-02,3244,13.9,1,1,1,0
2,2018-01-03,2855,13.3,2,1,1,1
3,2018-01-04,3395,17.2,3,1,1,1
4,2018-01-05,2256,17.2,4,1,1,1
5,2018-01-06,1784,13.3,5,0,1,1
6,2018-01-07,1436,13.3,6,0,1,0
7,2018-01-08,861,12.8,0,1,1,1
8,2018-01-09,3357,14.4,1,1,1,1
9,2018-01-10,3499,13.9,2,1,1,1
10,2018-01-11,4311,13.9,3,1,1,0
11,2018-01-12,3591,14.4,4,1,1,0
12,2018-01-13,1956,17.8,5,0,1,0
13,2018-01-14,1719,17.8,6,0,1,0
14,2018-01-15,2193,13.9,0,1,1,0
15,2018-01-16,4401,16.1,1,1,1,0
16,2018-01-17,4466,16.1,2,1,1,0
17,2018-01-18,3021,14.4,3,1,1,1
18,2018-01-19,3817,12.8,4,1,1,1
19,2018-01-20,2476,12.8,5,0,1,0
20,2018-01-21,1723,12.8,6,0,1,0
21,2018-01-22,3380,14.4,0,1,1,1
22,2018-01-23,4478,14.4,1,1,1,0
23,2018-01-24,3080,14.4,2,1,1,1
24,2018-01-25,3877,14.4,3,1,1,1
25,2018-01-26,3834,12.2,4,1,1,0
26,2018-01-27,2339,13.3,5,0,1,0
27,2018-01-28,2169,20.6,6,0,1,0
28,2018-01-29,4459,20.6,0,1,1,0
29,2018-01-30,4724,17.8,1,1,1,0
30,2018-01-31,4471,18.3,2,1,1,0
31,2018-02-01,4764,18.9,3,1,2,0
32,2018-02-02,4562,20.0,4,1,2,0
33,2018-02-03,2802,23.3,5,0,2,0
34,2018-02-04,2084,21.7,6,0,2,0
35,2018-02-05,4714,21.1,0,1,2,0
36,2018-02-06,5150,21.1,1,1,2,0
37,2018-02-07,5064,21.1,2,1,2,0
38,2018-02-08,5191,21.7,3,1,2,0
39,2018-02-09,4857,21.7,4,1,2,0
40,2018-02-10,2840,21.1,5,0,2,0
41,2018-02-11,1832,20.0,6,0,2,0
42,2018-02-12,4782,15.0,0,1,2,0
43,2018-02-13,5138,15.0,1,1,2,0
44,2018-02-14,4880,15.6,2,1,2,0
45,2018-02-15,4707,16.7,3,1,2,0
46,2018-02-16,4355,16.7,4,1,2,0
47,2018-02-17,2313,18.3,5,0,2,0
48,2018-02-18,1728,18.3,6,0,2,0
49,2018-02-19,2079,12.8,0,1,2,0
50,2018-02-20,4091,10.6,1,1,2,0
51,2018-02-21,4533,12.8,2,1,2,0
52,2018-02-22,4089,12.8,3,1,2,1
53,2018-02-23,3828,11.7,4,1,2,0
54,2018-02-24,1938,12.8,5,0,2,0
55,2018-02-25,1939,13.3,6,0,2,0
56,2018-02-26,3384,13.3,0,1,2,1
57,2018-02-27,4453,12.8,1,1,2,1
58,2018-02-28,4322,12.8,2,1,2,0
59,2018-03-01,2725,13.3,3,1,3,1
60,2018-03-02,2755,13.3,4,1,3,1
61,2018-03-03,1665,11.1,5,0,3,1
62,2018-03-04,1835,12.2,6,0,3,1
63,2018-03-05,4366,16.7,0,1,3,0
64,2018-03-06,4816,16.7,1,1,3,0
65,2018-03-07,4945,18.9,2,1,3,0
66,2018-03-08,4935,18.9,3,1,3,1
67,2018-03-09,4835,17.8,4,1,3,0
68,2018-03-10,2194,15.6,5,0,3,0
69,2018-03-11,2450,17.8,6,0,3,0
70,2018-03-12,3725,18.9,0,1,3,0
71,2018-03-13,3030,18.9,1,1,3,1
72,2018-03-14,4161,15.0,2,1,3,1
73,2018-03-15,3361,13.9,3,1,3,1
74,2018-03-16,3585,13.9,4,1,3,1
75,2018-03-17,2187,12.2,5,0,3,1
76,2018-03-18,1946,12.8,6,0,3,1
77,2018-03-19,4967,15.6,0,1,3,0
78,2018-03-20,2780,17.2,1,1,3,1
79,2018-03-21,4026,18.3,2,1,3,1
80,2018-03-22,3813,17.2,3,1,3,1
81,2018-03-23,4301,14.4,4,1,3,0
82,2018-03-24,2275,13.9,5,0,3,1
83,2018-03-25,2216,13.9,6,0,3,1
84,2018-03-26,4746,17.2,0,1,3,1
85,2018-03-27,5163,19.4,1,1,3,0
86,2018-03-28,5342,23.3,2,1,3,0
87,2018-03-29,5417,25.0,3,1,3,0
88,2018-03-30,4751,25.0,4,1,3,0
89,2018-03-31,2677,25.0,5,0,3,0
90,2018-04-01,2168,18.9,6,0,4,0
91,2018-04-02,5204,18.3,0,1,4,0
92,2018-04-03,5555,17.2,1,1,4,0
93,2018-04-04,5173,17.2,2,1,4,0
94,2018-04-05,4316,16.7,3,1,4,0
95,2018-04-06,1126,16.1,4,1,4,1
96,2018-04-07,2663,17.2,5,0,4,1
97,2018-04-08,2746,17.8,6,0,4,0
98,2018-04-09,5357,21.1,0,1,4,0
99,2018-04-10,5286,22.2,1,1,4,0
100,2018-04-11,4421,16.1,2,1,4,0
101,2018-04-12,4878,15.6,3,1,4,1
102,2018-04-13,4812,18.3,4,1,4,0
103,2018-04-14,3013,21.1,5,0,4,0
104,2018-04-15,1797,20.6,6,0,4,0
105,2018-04-16,3520,17.2,0,1,4,1
106,2018-04-17,5200,16.7,1,1,4,0
107,2018-04-18,4950,16.7,2,1,4,0
108,2018-04-19,5212,17.8,3,1,4,0
109,2018-04-20,4856,18.9,4,1,4,0
110,2018-04-21,3024,22.8,5,0,4,0
111,2018-04-22,2521,24.4,6,0,4,0
112,2018-04-23,5192,24.4,0,1,4,0
113,2018-04-24,5749,19.4,1,1,4,0
114,2018-04-25,6313,16.7,2,1,4,0
115,2018-04-26,5935,16.1,3,1,4,0
116,2018-04-27,6350,18.3,4,1,4,0
117,2018-04-28,3500,18.3,5,0,4,0
118,2018-04-29,3139,17.8,6,0,4,0
119,2018-04-30,6073,17.2,0,1,4,0
