,station_name,counts for station_name,lat,lng
0,San Francisco Caltrain Station 2  (Townsend St at 4th St),86598,37.7766392,-122.3955263
1,San Francisco Ferry Building (Harry Bridges Plaza),82258,37.795392,-122.394203
2,San Francisco Caltrain (Townsend St at 4th St),76478,37.776598,-122.395282
3,The Embarcadero at Sansome St,72114,37.80477,-122.403234
4,Market St at 10th St,69059,37.776619,-122.417385
5,Montgomery St BART Station (Market St at 2nd St),67816,37.7896254,-122.400811
6,Berry St at 4th St,66248,37.77588,-122.39317
7,Powell St BART Station (Market St at 4th St),64428,37.7863752686,-122.4049043655
8,Steuart St at Market St,56795,37.79413,-122.39443
9,Powell St BART Station (Market St at 5th St),50671,37.7838993571,-122.4084448814
10,Howard St at Beale St,50331,37.789756,-122.394643
11,Embarcadero BART Station (Beale St at Market St),41842,37.792251,-122.397086
12,3rd St at Townsend St,40377,37.7787416115,-122.3927408271
13,Townsend St at 7th St,38549,37.771058,-122.402717
14,4th St at Mission Bay Blvd S,37241,37.7704074,-122.3911984
15,Civic Center/UN Plaza BART Station (Market St at McAllister St),36841,37.7810737,-122.4117382
16,Beale St at Harrison St,36109,37.7880593,-122.3918648
17,2nd St at Townsend St,35999,37.780526,-122.390288
18,19th Street BART Station,35210,37.8090126,-122.2682473
19,Post St at Kearny St,32269,37.788975,-122.403452
20,The Embarcadero at Steuart St,31138,37.791464,-122.391034
21,Valencia St at 24th St,27341,37.7524278,-122.4206278
22,MacArthur BART Station,27140,37.8284099731,-122.2663146257
23,Spear St at Folsom St,25717,37.7896767,-122.3904285
24,Mechanics Monument Plaza (Market St at Bush St),25480,37.7913,-122.399051
25,Esprit Park,25223,37.7616343,-122.3906477
26,Folsom St at 3rd St,24417,37.78383,-122.39887
27,2nd St at Folsom St,24024,37.7849997283,-122.3959356175
28,Valencia St at 16th St,23992,37.765052,-122.4218661
29,Clay St at Battery St,23665,37.795001,-122.39997
30,The Embarcadero at Bryant St,23519,37.7871680147,-122.3880979233
31,8th St at Ringold St,23500,37.7745204011,-122.4094493687
32,Howard St at 8th St,23437,37.7765126,-122.4113061
33,S Park St at 3rd St,23404,37.7807601,-122.3949894
34,Golden Gate Ave at Polk St,23276,37.78127,-122.41874
35,The Embarcadero at Vallejo St,23222,37.799953,-122.398525
36,Division St at Potrero Ave,23147,37.7692178615,-122.4076455832
37,Union Square (Powell St at Post St),23101,37.7882999782,-122.4085307121
38,Rhode Island St at 17th St,23072,37.7644783,-122.4025701
39,Yerba Buena Center for the Arts (Howard St at 3rd St),22880,37.7848720844,-122.4008756876
40,San Francisco Public Library (Grove St at Hyde St),22836,37.7787677,-122.4159292
41,4th St at Harrison St,22393,37.7809545996,-122.3997491598
42,5th St at Folsom,22257,37.7801457035,-122.4030708524
43,Central Ave at Fell St,22146,37.7733108789,-122.4442926049
44,Laguna St at Hayes St,21795,37.7764348192,-122.4262440205
45,Bancroft Way at Telegraph Ave,21257,37.8688126,-122.258764
46,Downtown Berkeley BART,21043,37.8703477,-122.2677637
47,S Van Ness Ave at Market St,20977,37.774814,-122.418954
48,11th St at Bryant St,20406,37.7700298,-122.4117258
49,Davis St at Jackson St,20170,37.79728,-122.398436
50,Mission Playground,19363,37.7592103,-122.4213392
51,Grand Ave at Perkins St,19271,37.808893934,-122.2564601898
52,Broadway at Battery St,19185,37.7985721085,-122.4008689821
53,Howard St at 2nd St,19180,37.7875217805,-122.3974049091
54,Bancroft Way at College Ave,19133,37.8693603,-122.2543374
55,El Embarcadero at Grand Ave,19128,37.8088479,-122.2496799
56,Broadway at Kearny,19037,37.798013644,-122.4059504271
57,17th St at Valencia St,18939,37.7633158,-122.4219039
58,West Oakland BART Station,18549,37.8053183,-122.2948365
59,5th St at Brannan St,18544,37.7767539,-122.3990176
60,Victoria Manalo Draves Park,18343,37.7777905703,-122.4064318836
61,16th St Mission BART Station 2,18072,37.7647652155,-122.420091033
62,Market St at Franklin St,17797,37.7737932061,-122.4212390184
63,Lake Merritt BART Station,17608,37.7973195,-122.2653199
64,Commercial St at Montgomery St,17261,37.794231,-122.402923
65,Frank H Ogawa Plaza,17184,37.8045623549,-122.2717380524
66,2nd Ave at E 18th St,17110,37.800213567,-122.2538101673
67,Bryant St at 2nd St,16973,37.7831719893,-122.3935720325
68,8th St at Brannan St,16902,37.7714313629,-122.4057868123
69,11th St at Natoma St,16783,37.7735069,-122.4160402
70,Bay Pl at Vernon St,16720,37.8123140914,-122.2607785463
71,Townsend St at 5th St,16705,37.7753058,-122.39738
72,McCoppin St at Valencia St,16529,37.7716624622,-122.4224232137
73,Market St at Dolores St,16519,37.7693053,-122.4268256
74,Harrison St at 17th St,16207,37.7638471,-122.4130036
75,Washington St at Kearny St,16115,37.7953929373,-122.4047702551
76,Grand Ave at Webster St,16083,37.8113768,-122.2651925
77,Ashby BART Station,15938,37.8524766,-122.2702132
78,7th St at Brannan St,15866,37.7734919,-122.4036725
79,Mission Dolores Park,15642,37.7614205,-122.4264353
80,Folsom St at 9th St,15592,37.7737172,-122.4116467
81,22nd St Caltrain Station,15513,37.7573689901,-122.3920565844
82,4th St at 16th St,15423,37.7670445797,-122.390833497
83,San Fernando St at 4th St,15333,37.335885,-121.88566
84,Harrison St at 20th St,15291,37.758862,-122.412544
85,Valencia St at 21st St,15039,37.7567083,-122.421025
86,Valencia St at 22nd St,14653,37.7552126,-122.4209752
87,San Francisco City Hall (Polk St at Grove St),14610,37.77865,-122.41823
88,Rockridge BART Station,14509,37.844278754,-122.2519004345
89,Garfield Square (25th St at Harrison St),13831,37.7510171,-122.4119009
90,1st St at Folsom St,13754,37.78729,-122.39438
91,Valencia St at Cesar Chavez St,13409,37.7479981,-122.4202187
92,5th St at Virginia St,13315,37.3259984,-121.87712
93,Howard St at Mary St,13156,37.7810097172,-122.4056661129
94,Webster St at O'Farrell St,13138,37.7835208353,-122.4311578274
95,Telegraph Ave at 19th St,12904,37.8087021,-122.2699271
96,Folsom St at 19th St,12812,37.7605936,-122.4148171
97,14th St at Mission St,12682,37.7682646,-122.4201102
98,Jackson Playground,12599,37.7650259,-122.3987734
99,Mississippi St at 17th St,12591,37.7648022,-122.3947713
100,Parker St at Fulton St,12428,37.8624644,-122.2647911
101,Sanchez St at 15th St,12203,37.7662185,-122.4310597
102,19th St at Mission St,12140,37.760299,-122.418892
103,Bryant St at 15th St,12082,37.7671004,-122.410662
104,Cyril Magnin St at Ellis St,12025,37.7858806269,-122.4089150084
105,18th St at Noe St,11772,37.7610471,-122.4326417
106,San Jose Diridon Station,11545,37.329732,-121.901782
107,20th St at Bryant St,11498,37.7592005,-122.409851
108,Webster St at Grove St,11283,37.7770527,-122.4295585
109,Folsom St at 15th St,11241,37.7670373,-122.4154425
110,Dolores St at 15th St,11055,37.7662102,-122.4266136
111,Page St at Scott St,10833,37.772406,-122.4356498
112,Mission Bay Kids Park,10827,37.7723006317,-122.393027544
113,Berkeley Civic Center,10782,37.8690599,-122.270556
114,Lakeside Dr at 14th St,10637,37.8013189,-122.2626418
115,Grove St at Divisadero,10618,37.775946,-122.4377775
116,19th St at Florida St,10563,37.7604469,-122.410807
117,Haste St at Telegraph Ave,10475,37.8660431,-122.2588044
118,29th St at Tiffany Ave,10320,37.7440667,-122.4214722
119,San Fernando at 7th St,10270,37.337246,-121.8830739
120,16th St Mission BART,10176,37.7647100858,-122.4199569225
121,Church St at Duboce Ave,9993,37.7700831,-122.4291557
122,San Bruno Ave at 16th St,9950,37.7660077427,-122.4056768417
123,17th & Folsom Street Park (17th St at Folsom St),9710,37.7637085,-122.4152042
124,Raymond Kimbell Playground,9448,37.7838127093,-122.4345588684
125,Pierce St at Haight St,9425,37.7717933,-122.4337079
126,Ryland Park,9423,37.342725,-121.895617
127,17th St at Dolores St,9375,37.7630152,-122.4264968
128,Precita Park,9347,37.7472996,-122.4114029
129,Hubbell St at 16th St,9313,37.7664742152,-122.3982954025
130,Broderick St at Oak St,9188,37.7730627,-122.4390777
131,Broadway at 40th St,9113,37.8277573,-122.2567156
132,Telegraph Ave at 27th St,9091,37.816073115,-122.2678864002
133,McAllister St at Baker St,8966,37.7774157,-122.4418376
134,Telegraph Ave at 23rd St,8824,37.8126783,-122.2687726
135,San Salvador St at 9th St,8763,37.333955,-121.877349
136,Webster St at 2nd St,8662,37.7951947644,-122.2739696503
137,5th St at Howard St,8625,37.781752,-122.405127
138,Hearst Ave at Euclid Ave,8577,37.8751116929,-122.2605532408
139,Grand Ave at Santa Clara Ave,8570,37.8127441,-122.2472152
140,MLK Jr Way at University Ave,8476,37.8717192,-122.2730677
141,29th St at Church St,8415,37.7436839,-122.4268059
